//X,Y,Z,len(points),areaXZ,densitatXZ,median nx,median ny,median nz,median diff,median m3c2,stdev nx,stdev ny,stdev nz,stdev diff,stdev m3c2,c areaXZ,c densitatXZ,c median nx,c median ny,c median nz,c median diff,c median m3c2,c stdev nx,c stdev ny,c stdev nz,c stdev diff,c stdev m3c2,outliers,outliers dens,stdev z scores,median z scores,dispX,dispY,dispZ,significant change,stdev Npoints cloud1,stdev Npoints cloud2,stdev IQR cloud1,stdev IQR cloud2,median Npoints cloud1,median Npoints cloud2,median IQR cloud1,median IQR cloud2,c significant change,c stdev Npoints cloud1,c stdev Npoints cloud2,c stdev IQR cloud1,c stdev IQR cloud2,c median Npoints cloud1,c median Npoints cloud2,c median IQR cloud1,c median IQR cloud2,label
6.33729982,69.18430328,725.2321167,89,0.010069,8838.890625,-0.3397,0.8571,-0.2407,0.0765,0.0038,0.16949,0.080931,0.183447,0.008645,0.001364,0.000883,100761.1094,-0.4168,0.8345,-0.2699,0.0841,0.0026,0.158087,0.077681,0.171218,0.003381,0.000812,0,0,1.005666,0.056857,-0.00345,0.011703,-0.015289,1,2.584477,3.138935,0.000593,0.003209,15,17,0.0016,0.0076,1,2.325838,2.526055,0.000571,0.002068,14,18,0.0019,0.0054,1
5.72739983,68.89559937,725.3709717,522,0.061377,8504.863281,-0.37825,0.84165,-0.36035,0.0731,0.0031,0.213144,0.160563,0.164727,0.014363,0.00142,0.00653,79940.57813,-0.4118,0.8332,-0.4076,0.0805,0.0027,0.145438,0.137973,0.135484,0.016664,0.001463,0,0,1.000959,-0.333246,0.00165,0.006897,0.006836,1,2.409456,3.924165,0.000695,0.003405,16,15,0.0015,0.0057,1,1.977746,3.719489,0.00054,0.003489,16,16,0.0015,0.0051,1
5.66020012,68.96489716,725.8068848,47,0.002842,16539.01953,-0.427,0.8721,-0.1842,0.0674,0.0037,0.160871,0.125875,0.196174,0.003442,0.001612,0.000295,159359.1875,-0.46005,0.86335,-0.1758,0.0699,0.0026,0.143531,0.124685,0.178766,0.001956,0.001891,0,0,1.010811,0.093111,-0.00075,0.004498,0.004486,1,2.499954,3.004776,0.000375,0.003723,14,15,0.0012,0.0072,1,2.73264,3.191082,0.000403,0.004204,14,13.5,0.00115,0.00495,1
5.78879976,69.05069733,727.1179199,2199,0.350314,6277.231934,-0.4184,0.8336,-0.1534,0.1072,0.0037,0.209386,0.136529,0.28047,0.04136,0.002132,0.038623,56934.87891,-0.5281,0.771,-0.2238,0.1509,0.004,0.157807,0.146257,0.263388,0.031928,0.002496,8,0.003638,1.000227,-0.260246,-0.02625,0.041397,-0.018829,1,3.0355,6.691038,0.000507,0.00637,14,16,0.0013,0.0072,1,2.217728,5.782942,0.000518,0.007352,14,15,0.0014,0.0072,1
26.39640045,69.77259827,737.9376221,61,0.013032,4680.725586,-0.5311,0.5155,0.0164,0.068,0.0051,0.312,0.222004,0.540471,0.030393,0.011258,0.001034,58983.50781,-0.6112,0.5386,-0.1916,0.0797,0.0061,0.295319,0.264762,0.296474,0.00912,0.002418,1,0.016393,1.008299,-0.350953,0.010201,-0.009605,0.017059,1,4.441176,10.545297,0.002486,0.049734,16,17,0.0058,0.0075,1,3.299351,8.139849,0.001395,0.009524,16,17,0.0065,0.0112,0
22.6746006,68.23719788,738.2700195,203,0.043633,4652.466797,-0.1127,0.6431,0.3849,0.0982,0.0063,0.442552,0.28587,0.468721,0.055199,0.009056,0.004305,47159.82422,-0.11885,0.6684,0.44575,0.0932,0.00685,0.434298,0.232774,0.364966,0.022025,0.003261,3,0.014778,1.002472,-0.155845,0.03085,-0.006401,0.019043,1,6.273245,20.255186,0.012519,0.03527,13,15,0.0028,0.0111,1,4.860242,5.296768,0.003256,0.007749,11,15,0.0024,0.01315,0
23.29269981,67.29949951,743.9437866,151,0.017462,8647.141602,-0.2445,0.8401,0.0605,0.0713,0.0031,0.313621,0.167968,0.315731,0.007681,0.001681,0.001551,97351.88281,-0.4299,0.9029,-0.0886,0.0743,0.0031,0.339042,0.158271,0.162289,0.007311,0.00152,1,0.006623,1.003328,-0.095423,0.0068,0.000149,-0.029877,1,2.552789,2.901777,0.000573,0.004039,13,13,0.0013,0.0054,1,1.739428,2.424469,0.000629,0.003522,14,13,0.0017,0.0054,1
23.38850021,67.14849854,744.7299194,51,0.010357,4924.352051,0.2545,0.8525,0.249,0.0885,0.0109,0.445702,0.182961,0.321901,0.020253,0.005601,0.00044,115780.2813,0.534,0.838,0.09855,0.1029,0.01375,0.115622,0.01624,0.163862,0.014815,0.001933,0,0,1.009951,-0.072256,-0.0228,0.0154,0.005005,1,3.389719,12.232262,0.001257,0.01546,15,23,0.0021,0.0258,1,2.228602,15.491934,0.000922,0.005043,18.5,39.5,0.00385,0.045,0
31.34794998,75.89884949,731.382019,258,0.023856,10815.02637,-0.6516,0.44155,0.5802,0.08355,0.0032,0.189581,0.168929,0.264233,0.046509,0.005246,0.002469,104478.0234,-0.6685,0.38895,0.6227,0.09225,0.0028,0.181427,0.153496,0.243226,0.07257,0.008485,1,0.003876,1.001944,-0.057265,-0.0107,0.001698,0.00705,1,8.819482,6.333144,0.031931,0.005506,16,19,0.0015,0.0062,1,14.110208,7.771184,0.053446,0.006205,16,19,0.0015,0.00575,1
33.45610046,77.61270142,731.6848145,1301,0.226418,5746.004395,-0.5386,0.6856,0.0922,0.1073,0.0047,0.315722,0.17894,0.44138,0.042595,0.003396,0.024881,52289.53125,-0.5183,0.6875,0.0906,0.1316,0.0044,0.317259,0.173898,0.441186,0.03322,0.002877,27,0.020753,1.000385,-0.165362,-0.01235,0.007454,0.041534,1,3.466356,12.431718,0.002606,0.012548,15,17,0.0028,0.0082,1,2.941065,12.983303,0.002186,0.012038,15,17,0.0027,0.0076,0
33.78070068,77.60099792,733.0864258,135,0.035446,3808.656006,-0.5694,0.4419,0.6307,0.0685,0.0036,0.291872,0.230533,0.450564,0.310793,0.005223,0.003616,37338.96875,-0.63065,0.3598,0.65105,0.0736,0.003,0.257648,0.204413,0.338807,0.323795,0.002946,2,0.014815,1.003724,-0.135682,-0.00865,0.015697,-0.00882,1,6.239003,18.084126,0.007272,0.031199,16,16,0.0031,0.0055,1,8.489825,4.485178,0.010148,0.006031,16.5,14.5,0.0023,0.0045,0
